27.158.139.53 - aidan_kollar [17/Dec/2025:17:49:15 -0700] "POST /login/login?user=aidan_kollar&password=FrF1uzkc6u7dSo&status=unauthorized HTTP/1.1" 401 3019 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
49.224.214.10 - jacqueline_arias [17/Dec/2025:17:49:17 -0700] "POST /login/login?user=jacqueline_arias&password=pyhjX3zbEWCA&status=unauthorized HTTP/1.1" 401 23367 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
215.143.138.252 - dibbert2312 [17/Dec/2025:17:49:18 -0700] "PUT /innovate/e-markets/one-to-one/content HTTP/2.0" 301 98583 "http://www.forwarddrive.com/strategize/transform" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3) AppleWebKit/5330 (KHTML, like Gecko) Chrome/40.0.824.0 Mobile Safari/5330"
126.220.13.184 - - [17/Dec/2025:17:49:18 -0700] "GET /repurpose HTTP/1.1" 201 67391 "https://www.forwardmagnetic.info/reintermediate/portals/grow/unleash" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2 rv:6.0; en-US) AppleWebKit/531.36.4 (KHTML, like Gecko) Version/4.0 Safari/531.36.4"
35.66.91.79 - zakharias_joseph [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=zakharias_joseph&password=AemqScrflfy&status=unauthorized HTTP/1.1" 401 1998 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
103.99.124.253 - walker_caskey [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=walker_caskey&password=yyOyOAtD&status=unauthorized HTTP/1.1" 401 10476 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
134.227.3.91 - william_chen [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=william_chen&password=2Tfitg7Grf6WcI&status=unauthorized HTTP/1.1" 401 11038 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
119.211.40.143 - fatma_arslan [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=fatma_arslan&password=XZkE63opuaZQ&status=unauthorized HTTP/1.1" 401 9444 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
155.98.63.19 - schinner7282 [17/Dec/2025:17:49:18 -0700] "GET /benchmark/sticky HTTP/1.1" 304 93660 "https://www.humanenvisioneer.info/engage/brand/magnetic/enterprise" "Mozilla/5.0 (iPad; CPU OS 7_2_3 like Mac OS X; en-US) AppleWebKit/536.23.8 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6536.23.8"
193.3.52.85 - turgay_korkmaz [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=turgay_korkmaz&password=6ydguoKV9DFY1Y&status=unauthorized HTTP/1.1" 401 8196 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
167.245.89.24 - daniel_ruiz [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=daniel_ruiz&password=c8SyVt4v8uu&status=unauthorized HTTP/1.1" 401 15935 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
