83.132.193.247 - timothy_yuen [17/Dec/2025:17:49:15 -0700] "POST /login/login?user=timothy_yuen&password=VNDtTkPy76x&status=unauthorized HTTP/1.1" 401 18844 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
89.129.63.191 - timothy_yuen [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=timothy_yuen&password=sSd8Wq8Xp4&status=unauthorized HTTP/1.1" 401 9194 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
227.176.169.67 - turgay_korkmaz [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=turgay_korkmaz&password=nJ5ZSMatMYYTH&status=unauthorized HTTP/1.1" 401 2481 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
234.74.85.76 - fatma_arslan [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=fatma_arslan&password=pNkDv4J8cd60v&status=unauthorized HTTP/1.1" 401 16745 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
219.231.240.204 - beer2812 [17/Dec/2025:17:49:18 -0700] "DELETE /efficient/front-end/paradigms HTTP/1.0" 403 95599 "https://www.nationale-business.info/dot-com/relationships/proactive" "Mozilla/5.0 (Windows 98) AppleWebKit/5361 (KHTML, like Gecko) Chrome/40.0.840.0 Mobile Safari/5361"
47.212.145.248 - gabriel_green [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=gabriel_green&password=RosvkUjLY6FxA&status=unauthorized HTTP/1.1" 401 23786 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
198.203.70.49 - kemmer7644 [17/Dec/2025:17:49:18 -0700] "DELETE /proactive/innovate/sexy/integrated HTTP/1.0" 403 22100 "https://www.forwardfront-end.info/e-business/24/7/scale" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_1 rv:5.0; en-US) AppleWebKit/535.34.4 (KHTML, like Gecko) Version/4.0 Safari/535.34.4"
149.80.68.43 - mimi_xie [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=mimi_xie&password=nnuPzSpw&status=unauthorized HTTP/1.1" 401 18676 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
10.171.246.18 - xiaoyin_wang [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=xiaoyin_wang&password=Dn0ewQujClH&status=unauthorized HTTP/1.1" 401 3802 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
254.12.30.94 - kassulke1356 [17/Dec/2025:17:49:18 -0700] "GET /interfaces/web+services HTTP/2.0" 301 5181 "https://www.principalleverage.net/visualize/architectures/open-source/markets" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/5310 (KHTML, like Gecko) Chrome/38.0.861.0 Mobile Safari/5310"
87.248.13.23 - harvey3518 [17/Dec/2025:17:49:18 -0700] "GET /bricks-and-clicks HTTP/1.0" 405 44281 "http://www.centralmindshare.biz/revolutionary/interactive" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/37.0.862.0 Mobile Safari/5341"
