254.195.147.144 - phillip_menard [17/Dec/2025:17:49:18 -0700] "POST /login/login?user=phillip_menard&password=xt09yOvqUd8Ge0&status=unauthorized HTTP/1.1" 401 7062 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
154.133.163.211 - elisha_szeto [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=elisha_szeto&password=zpqNLrAVes&status=unauthorized HTTP/1.1" 401 17748 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
16.188.12.94 - gorczany2001 [17/Dec/2025:17:49:19 -0700] "HEAD /utilize/one-to-one/engage/holistic HTTP/1.1" 100 41527 "http://www.districtbest-of-breed.name/proactive" "Opera/8.16 (X11; Linux x86_64; en-US) Presto/2.11.165 Version/12.00"
38.184.113.131 - - [17/Dec/2025:17:49:19 -0700] "HEAD /mindshare/evolve HTTP/2.0" 401 1600 "https://www.dynamicsolutions.io/one-to-one/turn-key/deploy" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_9 rv:4.0; en-US) AppleWebKit/531.12.8 (KHTML, like Gecko) Version/5.2 Safari/531.12.8"
204.142.202.207 - fatma_arslan [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=fatma_arslan&password=BNgnNlO4xrPpKR&status=unauthorized HTTP/1.1" 401 12113 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
104.114.137.183 - john_oritz [17/Dec/2025:17:49:27 -0700] "POST /login/login?user=john_oritz&password=74iKpK1tZV&status=unauthorized HTTP/1.1" 401 2001 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
244.31.100.163 - - [17/Dec/2025:17:49:19 -0700] "HEAD /revolutionize HTTP/2.0" 201 55560 "http://www.directconvergence.org/enhance" "Opera/8.35 (X11; Linux i686; en-US) Presto/2.13.335 Version/13.00"
10.116.231.41 - white6122 [17/Dec/2025:17:49:19 -0700] "GET /redefine HTTP/1.0" 302 86241 "https://www.dynamicusers.info/facilitate/e-business" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8 rv:3.0) Gecko/2019-16-01 Firefox/36.0"
223.82.229.220 - christopher_chilek [17/Dec/2025:17:49:23 -0700] "POST /login/login?user=christopher_chilek&password=8izqS3mJJVd&status=unauthorized HTTP/1.1" 401 18201 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
15.80.139.125 - balistreri4331 [17/Dec/2025:17:49:19 -0700] "PATCH /e-markets HTTP/1.0" 203 67180 "http://www.forwardnext-generation.io/content/solutions/content" "Mozilla/5.0 (X11; Linux x86_64; rv:6.0) Gecko/1968-27-07 Firefox/37.0"
85.46.85.147 - buckridge1166 [17/Dec/2025:17:49:19 -0700] "DELETE /aggregate/envisioneer/repurpose HTTP/1.0" 502 12428 "http://www.dynamicaction-items.name/sticky/communities" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/5321 (KHTML, like Gecko) Chrome/36.0.828.0 Mobile Safari/5321"
189.133.200.205 - - [17/Dec/2025:17:49:19 -0700] "HEAD /e-tailers HTTP/1.1" 403 67517 "https://www.producteyeballs.biz/matrix" "Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/1912-04-12 Firefox/35.0"
45.207.71.168 - parisian2688 [17/Dec/2025:17:49:19 -0700] "PUT /envisioneer/transparent/scale/leverage HTTP/1.1" 100 76199 "https://www.districtdeliver.biz/dot-com" "Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_2) AppleWebKit/5360 (KHTML, like Gecko) Chrome/40.0.844.0 Mobile Safari/5360"
98.202.23.140 - zakharias_joseph [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=zakharias_joseph&password=0YboekuEDdJRh&status=unauthorized HTTP/1.1" 401 17029 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
