46.8.234.63 - michelle_hirani_khoja [17/Dec/2025:17:49:14 -0700] "POST /login/login?user=michelle_hirani_khoja&password=rJMuHOg54vBSn&status=unauthorized HTTP/1.1" 401 4949 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
80.115.185.135 - samir [17/Dec/2025:17:49:19 -0700] "POST /login/login?user=samir&password=KZd9Csphp&status=unauthorized HTTP/1.1" 401 12741 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
41.247.173.88 - - [17/Dec/2025:17:49:19 -0700] "PUT /systems/interfaces/dynamic HTTP/2.0" 416 53836 "http://www.internationalcommunities.com/reintermediate" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5322 (KHTML, like Gecko) Chrome/39.0.899.0 Mobile Safari/5322"
83.217.28.199 - shezan [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=shezan&password=ZsXgl3TRHF&status=unauthorized HTTP/1.1" 401 22975 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
251.56.237.59 - murazik3804 [17/Dec/2025:17:49:19 -0700] "PUT /reintermediate/one-to-one/engage/next-generation HTTP/1.1" 406 43430 "http://www.corporatebenchmark.name/plug-and-play/action-items" "Mozilla/5.0 (Windows NT 5.1; en-US; rv:1.9.2.20) Gecko/1905-09-09 Firefox/37.0"
151.183.20.134 - riyaz_popatia [17/Dec/2025:17:49:24 -0700] "POST /login/login?user=riyaz_popatia&password=U6fUBYeD1J&status=unauthorized HTTP/1.1" 401 10560 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
182.201.177.76 - murad [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=murad&password=PF4pFwK52RWT8B&status=unauthorized HTTP/1.1" 401 1679 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
239.206.185.123 - - [17/Dec/2025:17:49:19 -0700] "POST /relationships/integrated/frictionless HTTP/2.0" 406 35063 "https://www.regionalbleeding-edge.net/benchmark/open-source/cross-media/portals" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_2) AppleWebKit/5311 (KHTML, like Gecko) Chrome/40.0.837.0 Mobile Safari/5311"
168.150.174.17 - - [17/Dec/2025:17:49:19 -0700] "PUT /experiences/paradigms/synergistic/deploy HTTP/2.0" 405 93217 "http://www.seniortransition.biz/24/365/turn-key/enterprise/bricks-and-clicks" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6 rv:6.0; en-US) AppleWebKit/535.20.6 (KHTML, like Gecko) Version/6.2 Safari/535.20.6"
32.62.205.248 - roheen [17/Dec/2025:17:49:20 -0700] "POST /login/login?user=roheen&password=hr2dCKvFhNMD&status=unauthorized HTTP/1.1" 401 13454 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
135.132.39.133 - salim_gheewalla [17/Dec/2025:17:49:25 -0700] "POST /login/login?user=salim_gheewalla&password=CaO42pq9g&status=unauthorized HTTP/1.1" 401 7821 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
229.143.193.63 - - [17/Dec/2025:17:49:19 -0700] "HEAD /mission-critical/markets HTTP/1.0" 401 55292 "http://www.investorsticky.io/killer" "Mozilla/5.0 (Windows NT 4.0; en-US; rv:1.9.3.20) Gecko/1933-29-04 Firefox/36.0"
240.217.222.63 - naseem_huda_buckley [17/Dec/2025:17:49:21 -0700] "POST /login/login?user=naseem_huda_buckley&password=BwFRGLmJ0&status=unauthorized HTTP/1.1" 401 22643 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
172.189.14.39 - graham2870 [17/Dec/2025:17:49:19 -0700] "DELETE /initiatives/innovate HTTP/1.0" 503 63864 "http://www.seniorbest-of-breed.io/viral/engage/mission-critical" "Mozilla/5.0 (X11; Linux i686; rv:5.0) Gecko/1951-10-01 Firefox/36.0"
159.102.169.58 - - [17/Dec/2025:17:49:19 -0700] "POST /rich/holistic/embrace HTTP/1.0" 406 64978 "https://www.dynamicseize.info/drive/functionalities" "Mozilla/5.0 (X11; Linux x86_64; rv:5.0) Gecko/1997-16-03 Firefox/35.0"
191.149.147.89 - sajoo [17/Dec/2025:17:49:22 -0700] "POST /login/login?user=sajoo&password=3gefd0UmGYl4&status=unauthorized HTTP/1.1" 401 21129 "https://audit.local/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/110.0"
